id,macro_region,state_ut,district,hotspot_name,latitude,longitude,priority_for_screening,hotspot_type,dataset_type,coordinate_role,not_an_active_event,not_an_authoritative_landslide_inventory,display_rule,source_basis
HIM-001,Himalayas,Jammu & Kashmir,Ramban,Ramban-Banihal corridor,33.2433,75.243,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-002,Himalayas,Jammu & Kashmir,Ramban,Banihal,33.42,75.18,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-003,Himalayas,Jammu & Kashmir,Ramban,Panthial,33.32,75.25,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-004,Himalayas,Jammu & Kashmir,Doda,Doda,33.149,75.547,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-005,Himalayas,Jammu & Kashmir,Kishtwar,Kishtwar,33.315,75.769,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-006,Himalayas,Jammu & Kashmir,Reasi,Reasi,33.081,74.832,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-007,Himalayas,Jammu & Kashmir,Poonch,Poonch,33.77,74.092,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-008,Himalayas,Jammu & Kashmir,Rajouri,Rajouri,33.375,74.315,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-009,Himalayas,Jammu & Kashmir,Ganderbal,Sonamarg,34.3,75.29,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-010,Himalayas,Jammu & Kashmir,Baramulla,Uri,34.08,74.03,medium,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-011,Himalayas,Ladakh,Kargil,Kargil-Drass corridor,34.56,76.13,medium,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-012,Himalayas,Ladakh,Leh,Leh-Srinagar corridor,34.16,77.58,medium,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-013,Himalayas,Himachal Pradesh,Kinnaur,Reckong Peo,31.536,78.272,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-014,Himalayas,Himachal Pradesh,Kinnaur,Kalpa-Kinnaur corridor,31.54,78.25,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-015,Himalayas,Himachal Pradesh,Kullu,Manali,32.2396,77.1887,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-016,Himalayas,Himachal Pradesh,Kullu,Aut-Kullu corridor,31.87,77.22,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-017,Himalayas,Himachal Pradesh,Mandi,Mandi,31.708,76.932,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-018,Himalayas,Himachal Pradesh,Shimla,Shimla,31.1048,77.1734,high,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-019,Himalayas,Himachal Pradesh,Chamba,Chamba,32.5534,76.1258,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-020,Himalayas,Himachal Pradesh,Sirmaur,Nahan,30.56,77.3,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-021,Himalayas,Himachal Pradesh,Kangra,Dharamshala,32.219,76.3234,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-022,Himalayas,Himachal Pradesh,Solan,Solan,30.9045,77.0967,medium,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
